Checklist ID	Title	Sub model	Description	Priority	Bugs	Bug type	Status	Notes
CL-Bl-5	Balans — Payme bilan to'ldirish	Balans	Payme tanlanganda to'lov muvaffaqiyatli o'tishi	Critical				
CL-Bl-6	Balans — minimal summa	Balans	1 000 so'mdan kam kiritilganda to'lov amalga oshmasligi	High				Minimal: 1 000 so'm
CL-Bl-7	Balans — maksimal summa	Balans	10 000 000 so'mdan ko'p kiritilganda to'lov amalga oshmasligi	High				Maksimal: 10 000 000 so'm
CL-Bl-8	Balans — karta qo'shish	Balans	"+" bosilganda virtual yoki fizik karta qo'shish imkoni ochilishi	High				
CL-Bl-9	Balans — virtual karta qo'shish	Balans	Virtual karta qo'shilganda ro'yxatda ko'rinishi	High				
CL-Bl-10	Balans — karta o'chirish	Balans	Karta o'chirish tugmasi bosilganda tasdiqlash so'ralib karta o'chirilishi	High				
CL-Bl-11	Balans — o'tkazma	Balans	O'z kartalari orasida o'tkazma muvaffaqiyatli o'tishi	High				
CL-Bl-12	Balans — tarix sahifasi	Balans	"Hammasini ko'rish" bosilganda tranzaksiyalar tarixi ochilishi	High				
CL-Bl-13	Balans — filtr (karta)	Balans	Tarix sahifasida kartalar bo'yicha filtr ishlashi	Medium				
CL-Bl-14	Balans — filtr (davr)	Balans	Bugun, kecha, hafta, o'tgan hafta filtrlari ishlashi	Medium				
CL-Ch-1	Chiptalar — sahifaga o'tish	Chiptalar	Bottom nav dan "Chiptalar" bosilganda chiptalar sahifasi ochilishi	High				
CL-Ch-2	Chiptalar — ro'yxat ko'rinishi	Chiptalar	Sotib olingan chiptalar ro'yxati to'g'ri ko'rinishi	High				
CL-Ch-3	Chiptalar — chipta tanlash	Chiptalar	Attraksion tanlanganda chipta sotib olish sahifasi ochilishi	High				
CL-Ch-4	Chiptalar — QR kod ko'rinishi	Chiptalar	Sotib olingan chipta QR kodi to'g'ri ko'rinishi	Critical				QR kod kirish uchun ishlatiladi
CL-Ch-5	Chiptalar — faol/o'tgan chiptalar	Chiptalar	Faol va o'tgan chiptalar alohida ko'rinishi	Medium				
CL-Pr-1	Profil — sahifaga o'tish	Profil	Bottom nav dan "Profil" bosilganda profil sahifasi ochilishi	High				
CL-Pr-2	Profil — ma'lumotlar ko'rinishi	Profil	Ism, telefon, tug'ilgan sana, jins ma'lumotlari to'g'ri ko'rinishi	High				
CL-Pr-3	Profil — rasm ko'rinishi	Profil	Profil rasmi to'g'ri ko'rinishi	Medium				
CL-Pr-4	Profil — ma'lumot tahrirlash	Profil	Profil ma'lumotlari tahrirlanganda o'zgarishlar saqlanishi	High				
CL-Pr-5	Profil — til o'zgartirish	Profil	Profildan til o'zgartirilganda barcha ekranlar yangi tilda ko'rinishi	High				
CL-Pr-6	Profil — chiqish (logout)	Profil	"Chiqish" bosilganda Login ekraniga qaytilishi	Critical				
CL-At-1	Attraksion — ro'yxat yuklanishi	Attraksionlar	Barcha attraksionlar nomi, narxi, davomiyligi bilan to'g'ri yuklanishi	High				
CL-At-2	Attraksion — batafsil sahifa	Attraksionlar	Attraksion bosilganda batafsil ma'lumot sahifasi ochilishi	High				
CL-At-3	Attraksion — chipta miqdori tanlash	Attraksionlar	Chipta miqdori oshirish/kamaytirish ishlashi	High				
CL-At-4	Attraksion — chipta narxi hisob	Attraksionlar	Miqdor o'zgarganda umumiy narx to'g'ri hisoblanishi	High				
CL-At-5	Attraksion — chipta sotib olish	Attraksionlar	"Sotib olish" bosilganda to'lov jarayoni boshlanishi	Critical				
CL-At-6	Attraksion — to'lovsiz (balanssiz)	Attraksionlar	Balans yetarli bo'lmaganda to'ldirish taklif qilinishi	High				
CL-At-7	Attraksion — chipta QR kodi	Attraksionlar	Muvaffaqiyatli to'lovdan keyin QR kod chiqarilishi	Critical				
CL-Nt-1	Bildirishnoma — ro'yxat	Bildirishnomalar	Bildirishnomalar sahifasida xabarlar ro'yxati ko'rinishi	Medium				
CL-Nt-2	Bildirishnoma — o'qilmagan badge	Bildirishnomalar	O'qilmagan xabar bo'lganda qo'ng'iroq ikonasida badge ko'rinishi	Medium				
CL-Nt-3	Bildirishnoma — bosilganda	Bildirishnomalar	Xabar bosilganda tegishli sahifaga o'tishi	Medium				
